City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Olafsvik,IS,64.8945,-23.7142,38.14,70,85,13.42,overcast clouds
125,Moerai,PF,-22.4333,-151.3333,79.93,76,22,19.84,few clouds
126,Kurri Kurri,AU,-32.8167,151.4833,75.0,61,68,5.01,broken clouds
127,Mount Gambier,AU,-37.8333,140.7667,82.4,26,10,6.91,clear sky
128,Taoudenni,ML,22.6783,-3.9836,75.22,8,52,10.63,broken clouds
129,Dongsheng,CN,39.8161,109.9776,53.2,31,100,22.37,light rain
130,Laguna,US,38.421,-121.4238,66.2,20,1,12.66,clear sky
131,Central Point,US,42.376,-122.9164,57.2,30,1,5.75,clear sky
132,Linjiang,CN,41.8069,126.9078,63.77,19,28,4.56,scattered clouds
133,Arlit,NE,18.7369,7.3853,63.95,14,14,2.15,few clouds
134,Torbay,CA,47.6666,-52.7314,24.01,74,90,14.97,overcast clouds
135,Chapais,CA,49.7834,-74.8492,46.4,46,90,14.97,overcast clouds
136,Saint George,US,37.1041,-113.5841,52.0,13,1,20.71,clear sky
137,Meulaboh,ID,4.1363,96.1285,77.58,83,100,5.37,overcast clouds
138,Provideniya,RU,64.3833,-173.3,10.4,61,0,15.66,clear sky
139,Dunedin,NZ,-45.8742,170.5036,57.99,76,65,1.99,broken clouds
140,Tiksi,RU,71.6872,128.8694,2.61,93,100,8.08,light snow
141,Thompson,CA,55.7435,-97.8558,-7.6,59,40,1.68,scattered clouds
142,Teguldet,RU,57.3064,88.1667,25.92,81,100,11.34,light snow
143,Fatezh,RU,52.0891,35.8632,36.0,69,0,11.18,moderate rain
144,Koungou,YT,-12.7336,45.2042,84.2,79,20,9.22,few clouds
145,Thunder Bay,CA,48.4001,-89.3168,24.8,42,90,18.41,overcast clouds
146,Kurchum,KZ,48.5722,83.6542,28.04,66,80,3.87,broken clouds
147,Olinda,BR,-8.0089,-34.8553,78.8,73,40,3.44,very heavy rain
148,Sur,OM,22.5667,59.5289,83.28,57,3,6.6,clear sky
149,Basco,PH,20.4487,121.9702,80.44,68,0,5.86,clear sky
150,Hurghada,EG,27.2574,33.8129,61.45,57,0,22.46,clear sky
151,Guerrero Negro,MX,27.9769,-114.0611,58.78,85,0,9.55,clear sky
152,Cabo San Lucas,MX,22.8909,-109.9124,68.0,77,1,7.85,clear sky
153,Salinopolis,BR,-0.6136,-47.3561,77.67,88,100,8.59,very heavy rain
154,Lokoja,NG,7.8024,6.743,79.11,75,67,3.76,broken clouds
155,Champerico,GT,14.3,-91.9167,66.0,94,1,7.72,clear sky
156,Shar,KZ,49.5886,81.0453,32.27,67,63,3.49,broken clouds
157,Oskarshamn,SE,57.2645,16.4484,46.0,87,3,5.01,clear sky
158,Adilcevaz,TR,38.8039,42.7342,32.0,80,40,2.3,scattered clouds
159,Pacific Grove,US,36.6177,-121.9166,59.0,44,1,5.75,clear sky
160,Lufilufi,WS,-13.8745,-171.5986,82.4,89,75,5.75,light rain
161,Qasigiannguit,GL,68.8193,-51.1922,37.4,65,75,24.16,broken clouds
162,Mount Pleasant,US,32.7941,-79.8626,66.0,100,90,4.0,mist
163,Palana,RU,59.1167,159.9667,31.44,99,100,5.77,overcast clouds
164,Qaanaaq,GL,77.484,-69.3632,0.93,72,100,7.67,overcast clouds
165,Tambun,ID,-6.2641,107.0712,89.6,58,40,5.75,scattered clouds
166,Saskylakh,RU,71.9167,114.0833,-14.78,96,100,11.95,overcast clouds
167,Akdagmadeni,TR,39.6603,35.8836,36.03,78,100,4.83,light rain
168,Tasiilaq,GL,65.6145,-37.6368,30.2,93,90,20.71,snow
169,Mandalgovi,MN,45.7625,106.2708,45.52,39,100,15.59,overcast clouds
170,Butaritari,KI,3.0707,172.7902,82.26,79,100,17.43,overcast clouds
171,Mobaye,CF,4.319,21.1786,72.01,79,52,1.5,broken clouds
172,Ambilobe,MG,-13.2,49.05,79.65,85,7,3.22,clear sky
173,Menongue,AO,-14.6585,17.691,60.48,97,100,6.11,overcast clouds
174,Manoel Urbano,BR,-8.8389,-69.2597,70.57,98,99,2.35,very heavy rain
175,Oktyabrskoye,RU,43.0645,44.7417,41.0,81,90,2.42,overcast clouds
176,Itaugua,PY,-25.3833,-57.3333,66.2,88,0,5.1,very heavy rain
177,Asosa,ET,10.0667,34.5333,72.97,31,55,1.88,broken clouds
178,Kudahuvadhoo,MV,2.6708,72.8944,84.47,75,73,17.36,broken clouds
179,Luderitz,NA,-26.6481,15.1594,64.04,69,23,9.57,few clouds
180,Aksarka,RU,66.5606,67.7975,12.47,93,100,15.61,light snow
181,Kargil,IN,34.5667,76.1,26.85,61,80,2.39,broken clouds
182,Hambantota,LK,6.1241,81.1185,86.0,84,75,10.36,broken clouds
183,Tutoia,BR,-2.7619,-42.2744,77.27,88,96,7.09,very heavy rain
184,Santa Elena,EC,-2.2333,-80.85,75.2,88,0,6.91,clear sky
185,Vardo,NO,70.3705,31.1107,33.8,86,75,17.27,light rain and snow
186,Miyang,CN,24.4042,103.4428,81.77,19,12,19.93,few clouds
187,Vestmannaeyjar,IS,63.4427,-20.2734,34.66,63,19,12.64,few clouds
